model,observations,mae,rmse,bias,coverage,mean_interval_width,mase,skill_vs_seasonal_naive_pct
autoregressive_ridge,104,1.5378718815963435,1.8429839499098297,-0.21960150100486953,0.7692307692307692,5.46603250339103,0.5642781634607497,43.57218365392504
arima_fourier,104,1.5513511708540657,1.863692242517431,0.023229269757688405,0.7884615384615384,5.828467976665548,0.5705072140205607,42.94927859794393
validation_ensemble,104,1.5670986588921605,1.8760589960833567,-0.19853118058936192,0.7692307692307692,5.65318746289939,0.5770344846445924,42.29655153554076
hist_gradient_boosting,104,1.5862293509825554,1.946053036223116,0.0030302674847879074,0.875,6.230177010268035,0.5877492784929675,41.22507215070325
random_forest,104,1.5890864695217202,1.917964179798869,0.0897584021752986,0.8942307692307693,6.388198672521302,0.5885537565797371,41.1446243420263
climatology,104,1.8365337512654325,2.2429687839624575,-0.21060245500378608,0.875,6.888460757997005,0.687011866259143,31.298813374085697
harmonic_ridge,104,1.849347828878049,2.2314106010652277,-0.3992213105209042,0.7115384615384616,6.092768522867906,0.6906072452066643,30.939275479333567
seasonal_naive_365,104,2.6673076923076926,3.4287807807618123,-0.4134615384615383,0.8173076923076923,9.8,1.0,0.0
