model,mae,rmse,bias,coverage
neural_ensemble,1.1387620347687624,1.5213096632016345,0.09347074589129205,0.9179509978265166
gru,1.146132880509359,1.5313482388537136,0.0580444799254385,0.9216064018968584
lstm,1.1599023061598555,1.5445705921088106,0.1288970118571455,0.9145919778699861
weekly_naive,2.536060093820531,3.3437330909221386,0.012299939003699245,0.8913752222880854
persistence,2.800899047162358,3.4953439991629667,-0.0901501733803085,0.8948330369492196
