model,origin,forecast_time,horizon,actual,prediction,interval_radius,lower,upper
gru,2023-12-31 23:00:00,2024-01-01 00:00:00,1,,10.761058,1.1237640380859375,9.637293815612793,11.884821891784668
gru,2023-12-31 23:00:00,2024-01-01 02:00:00,3,,9.722023,1.7032909393310476,8.018732070922859,11.425313949584954
gru,2023-12-31 23:00:00,2024-01-01 05:00:00,6,,8.993122,2.392070770263672,6.601051330566406,11.38519287109375
gru,2023-12-31 23:00:00,2024-01-01 11:00:00,12,,14.684511,2.7093544006347656,11.975156784057617,17.39386558532715
gru,2023-12-31 23:00:00,2024-01-01 23:00:00,24,,10.579264,2.76812744140625,7.811136245727539,13.347391128540039
gru,2023-12-31 23:00:00,2024-01-03 23:00:00,72,,8.834494,3.704235076904304,5.130258560180657,12.538728713989265
gru,2023-12-31 23:00:00,2024-01-07 23:00:00,168,,9.762717,3.9358520507812536,5.826865196228024,13.698569297790531
